time,step-size,{fmu1}.Steering_control.delta_f,{fmu1}.Steering_control.speed,{fmu2}.vehicle.delta_f,{fmu2}.vehicle.theta,{fmu2}.vehicle.w_o,{fmu2}.vehicle.x,{fmu2}.vehicle.y
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.2,0.1,0.0,1.0,0.0,0.0,0.014912148390269274,0.004324523033178089,0.0
0.30000000000000004,0.1,0.0,1.0,0.0,0.0,0.05394403856279028,0.015643771183209178,0.0
0.4,0.1,0.0,1.0,0.0,0.0,0.11025847892488498,0.03197495888821664,0.0
0.5,0.1,0.0,1.0,0.0,0.0,0.1789564076243765,0.051897358211069174,0.0
0.6,0.1,0.0,1.0,0.0,0.0,0.2565274934517415,0.07439297310100498,0.0
0.7,0.1,0.0,1.0,0.0,0.0,0.34045647418487046,0.09873237751361243,0.0
0.7999999999999999,0.1,0.0,1.0,0.0,0.0,0.4289410856873188,0.12439291484932251,0.0
0.8999999999999999,0.1,0.0,1.0,0.0,0.0,0.5206899492753992,0.15100008528986586,0.0
0.9999999999999999,0.1,0.0,1.0,0.0,0.0,0.6147777516884407,0.17828554798964816,0.0
1.0999999999999999,0.1,0.0,1.0,0.0,0.0,0.7115058426144957,0.20633669435820395,0.0
1.2,0.1,0.0,1.0,0.0,0.0,0.8084805203956787,0.23445935091474704,0.0
1.3,0.1,0.0,1.0,0.0,0.0,0.9063127823013208,0.26283070686738313,0.0
1.4000000000000001,0.1,0.0,1.0,0.0,0.0,1.0047595300835899,0.2913802637242409,0.0
1.5000000000000002,0.1,0.0,1.0,0.0,0.0,1.1036465762363683,0.3200575071085464,0.0
1.6000000000000003,0.1,0.0,1.0,0.0,0.0,1.2028491099576104,0.3488262418877064,0.0
1.7000000000000004,0.1,0.0,1.0,0.0,0.0,1.302277700399753,0.3776605331159275,0.0
1.8000000000000005,0.1,0.0,1.0,0.0,0.0,1.401868267560386,0.40654179759251097,0.0
1.9000000000000006,0.1,0.0,1.0,0.0,0.0,1.5015748961114028,0.4354567198723057,0.0
2.0000000000000004,0.1,0.0,1.0,0.0,0.0,1.601364686282577,0.46439575902194635,0.0
2.1000000000000005,0.1,0.0,1.0,0.0,0.0,1.7012140643584337,0.4933520786639446,0.0
2.2000000000000006,0.1,0.0,1.0,0.0,0.0,1.801106139033726,0.5223207803197788,0.0
2.3000000000000007,0.1,0.0,1.0,0.0,0.0,1.9010288071593693,0.5512983540762149,0.0
2.400000000000001,0.1,0.0,1.0,0.0,0.0,2.000973396450087,0.580282284970523,0.0
2.500000000000001,0.1,0.0,1.0,0.0,0.0,2.100933692941945,0.6092707709531618,0.0
2.600000000000001,0.1,0.0,1.0,0.0,0.0,2.2009052441352255,0.6382625207992121,0.0
2.700000000000001,0.1,0.0,1.0,0.0,0.0,2.3008848596744573,0.6672566093055899,0.0
2.800000000000001,0.1,0.0,1.0,0.0,0.0,2.4008702535700697,0.6962523735353175,0.0
2.9000000000000012,0.1,0.0,1.0,0.0,0.0,2.500859787838952,0.7252493384732935,0.0
3.0000000000000013,0.1,0.0,1.0,0.0,0.0,2.600852288814917,0.7542471637563233,0.0
3.1000000000000014,0.1,0.0,1.0,0.0,0.0,2.700846915529393,0.7832456055035226,0.0
3.2000000000000015,0.1,0.0,1.0,0.0,0.0,2.800843065402078,0.8122444889666013,0.0
3.3000000000000016,0.1,0.0,1.0,0.0,0.0,2.9008403066653043,0.8412436889329374,0.0
3.4000000000000017,0.1,0.0,1.0,0.0,0.0,3.000838329944028,0.870243115683768,0.0
3.5000000000000018,0.1,0.0,1.0,0.0,0.0,3.100836913561342,0.8992427049327895,0.0
3.600000000000002,0.1,0.0,1.0,0.0,0.0,3.200835898678798,0.9282424106168526,0.0
3.700000000000002,0.1,0.0,1.0,0.0,0.0,3.3008351714836817,0.957242199730268,0.0
3.800000000000002,0.1,0.0,1.0,0.0,0.0,3.400834650425612,0.9862420486234272,0.0
3.900000000000002,0.1,0.0,1.0,0.0,0.0,3.5008342770711907,1.0152419403506443,0.0
